iter	Passed	Remaining
0	1	114
1	2	107
2	3	103
3	3	94
4	4	93
5	5	92
6	6	92
7	7	91
8	8	90
9	9	89
10	10	87
11	11	86
12	12	85
13	13	84
14	14	82
15	15	82
16	16	81
17	17	80
18	18	79
19	19	78
20	20	77
21	21	76
22	22	75
23	23	74
24	24	73
25	25	72
26	26	71
27	27	70
28	28	69
29	29	68
30	30	67
31	31	66
32	32	65
33	33	64
34	34	63
35	35	62
36	35	61
37	36	60
38	37	59
39	38	58
40	39	57
41	40	55
42	41	54
43	42	53
44	43	52
45	44	51
46	45	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	51	42
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	34
63	60	33
64	60	32
65	61	31
66	62	30
67	63	29
68	64	28
69	65	28
70	66	27
71	67	26
72	68	25
73	69	24
74	69	23
75	70	22
76	71	21
77	72	20
78	73	19
79	74	18
80	75	17
81	76	16
82	77	15
83	78	14
84	79	13
85	80	13
86	80	12
87	81	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	88	4
95	89	3
96	90	2
97	91	1
98	92	0
99	93	0
