iter	Passed	Remaining
0	130	130734
1	131	65838
2	132	44172
3	134	33366
4	134	26848
5	135	22484
6	136	19369
7	137	17041
8	138	15229
9	139	13776
10	140	12588
11	141	11621
12	142	10802
13	143	10087
14	144	9465
15	144	8915
16	145	8438
17	146	8016
18	147	7636
19	148	7291
20	149	6984
21	150	6708
22	151	6450
23	152	6214
24	153	5998
25	154	5801
26	155	5616
27	156	5443
28	157	5289
29	158	5134
30	159	4993
31	160	4857
32	162	4747
33	162	4630
34	163	4516
35	164	4413
36	165	4315
37	166	4221
38	167	4131
39	168	4054
40	169	3973
41	170	3897
42	171	3824
43	172	3754
44	173	3686
45	174	3620
46	175	3558
47	176	3499
48	177	3443
49	178	3389
50	179	3338
51	180	3287
52	181	3240
53	182	3196
54	183	3154
55	184	3110
56	185	3069
57	186	3027
58	187	2989
59	188	2950
60	189	2912
61	190	2879
62	191	2844
63	192	2811
64	193	2779
65	194	2749
66	195	2718
67	196	2689
68	197	2660
69	198	2634
70	199	2607
71	200	2580
72	201	2554
73	202	2530
74	203	2505
75	204	2480
76	205	2457
77	206	2435
78	206	2411
79	207	2388
80	208	2367
81	209	2348
82	210	2322
83	211	2302
84	212	2282
85	213	2265
86	214	2246
87	214	2227
88	215	2210
89	216	2192
90	217	2174
91	218	2157
92	219	2140
93	220	2125
94	221	2110
95	222	2094
96	223	2080
97	224	2065
98	225	2049
99	226	2035
100	227	2021
101	228	2008
102	228	1993
103	229	1980
104	230	1966
105	231	1953
106	232	1940
107	233	1927
108	234	1915
109	235	1903
110	236	1891
111	237	1879
112	238	1868
113	239	1858
114	240	1848
115	241	1837
116	242	1826
117	243	1817
118	243	1806
119	244	1796
120	246	1787
121	246	1776
122	247	1767
123	248	1758
124	250	1750
125	250	1740
126	251	1729
127	252	1720
128	253	1712
129	254	1703
130	255	1694
131	256	1687
132	257	1679
133	258	1671
134	259	1663
135	260	1656
136	261	1648
137	262	1640
138	263	1632
139	264	1626
140	265	1619
141	266	1609
142	267	1601
143	268	1595
144	269	1588
145	270	1581
146	271	1574
147	272	1567
148	273	1560
149	274	1553
150	275	1547
151	276	1540
152	277	1534
153	278	1528
154	279	1522
155	280	1516
156	281	1510
157	282	1504
158	283	1498
159	284	1492
160	284	1484
161	285	1479
162	287	1473
163	287	1467
164	288	1461
165	289	1456
166	290	1451
167	291	1446
168	292	1440
169	294	1436
170	295	1431
171	296	1425
172	297	1420
173	298	1416
174	299	1411
175	300	1406
176	301	1401
177	302	1397
178	303	1392
179	304	1387
180	305	1383
181	306	1378
182	307	1373
183	308	1370
184	309	1365
185	310	1360
186	311	1355
187	312	1351
188	313	1346
189	314	1341
190	315	1337
191	316	1333
192	317	1328
193	318	1324
194	319	1320
195	320	1315
196	321	1311
197	322	1306
198	323	1303
199	324	1299
200	325	1294
201	326	1290
202	327	1287
203	328	1283
204	329	1279
205	330	1275
206	331	1271
207	332	1267
208	333	1263
209	334	1259
210	335	1255
211	336	1251
212	337	1247
213	338	1244
214	339	1240
215	340	1236
216	341	1233
217	342	1229
218	343	1225
219	344	1221
220	345	1218
221	346	1215
222	347	1211
223	348	1207
224	349	1204
225	350	1201
226	351	1197
227	352	1193
228	353	1190
229	354	1187
230	355	1183
231	356	1179
232	357	1177
233	358	1173
234	359	1170
235	360	1167
236	361	1164
237	362	1160
238	363	1157
239	364	1154
240	365	1151
241	366	1148
242	367	1144
243	368	1141
244	369	1138
245	370	1135
246	371	1131
247	372	1129
248	373	1125
249	374	1123
250	375	1120
251	376	1117
252	377	1114
253	378	1111
254	379	1108
255	380	1106
256	381	1103
257	382	1101
258	383	1098
259	384	1095
260	385	1092
261	387	1090
262	388	1087
263	389	1084
264	390	1082
265	391	1079
266	392	1076
267	393	1073
268	394	1071
269	395	1068
270	396	1065
271	397	1062
272	398	1060
273	399	1057
274	400	1055
275	401	1052
276	402	1050
277	403	1047
278	404	1045
279	405	1043
280	406	1040
281	407	1038
282	408	1036
283	409	1033
284	410	1031
285	412	1028
286	413	1026
287	414	1023
288	415	1021
289	416	1018
290	417	1016
291	418	1013
292	419	1011
293	420	1009
294	421	1006
295	422	1004
296	423	1002
297	424	999
298	425	997
299	426	994
300	427	992
301	428	990
302	429	987
303	430	985
304	431	983
305	432	981
306	433	979
307	435	978
308	436	976
309	437	974
310	438	972
311	439	969
312	440	967
313	441	965
314	442	963
315	443	960
316	444	958
317	446	956
318	447	954
319	448	952
320	449	950
321	450	948
322	451	945
323	452	943
324	453	942
325	454	940
326	455	937
327	456	935
328	457	933
329	458	931
330	459	929
331	461	927
332	462	925
333	463	923
334	464	921
335	465	919
336	466	917
337	467	915
338	468	914
339	469	911
340	470	909
341	471	907
342	472	905
343	473	903
344	474	901
345	476	899
346	477	897
347	477	895
348	479	893
349	480	891
350	481	889
351	482	887
352	483	885
353	484	883
354	485	881
355	486	880
356	487	878
357	489	876
358	490	875
359	491	873
360	492	871
361	493	869
362	494	867
363	495	865
364	496	863
365	497	862
366	498	860
367	499	858
368	501	856
369	502	855
370	503	853
371	504	851
372	505	850
373	506	848
374	508	846
375	509	845
376	510	843
377	511	841
378	512	840
379	513	838
380	515	836
381	516	835
382	517	833
383	518	831
384	519	830
385	520	828
386	522	827
387	523	825
388	524	823
389	525	821
390	526	820
391	528	819
392	529	817
393	529	815
394	531	813
395	532	811
396	533	810
397	534	808
398	535	806
399	536	805
400	538	803
401	539	802
402	540	800
403	541	798
404	542	796
405	543	795
406	544	793
407	545	791
408	546	790
409	547	788
410	548	786
411	550	785
412	551	783
413	552	781
414	553	780
415	554	778
416	555	776
417	556	775
418	557	773
419	558	771
420	560	770
421	561	768
422	562	767
423	563	765
424	564	764
425	565	762
426	567	761
427	568	759
428	569	758
429	570	756
430	572	755
431	573	753
432	574	752
433	575	751
434	576	749
435	578	747
436	579	746
437	580	744
438	581	743
439	583	742
440	584	740
441	585	738
442	586	737
443	587	736
444	588	734
445	590	733
446	591	731
447	592	730
448	594	729
449	595	727
450	596	725
451	597	724
452	598	723
453	599	721
454	601	720
455	602	718
456	603	717
457	605	716
458	606	714
459	607	713
460	608	711
461	610	710
462	611	709
463	612	707
464	614	706
465	615	705
466	617	704
467	618	702
468	619	701
469	620	699
470	621	697
471	622	696
472	623	694
473	624	693
474	625	691
475	627	690
476	628	688
477	629	687
478	630	685
479	631	684
480	632	682
481	634	681
482	635	680
483	636	678
484	637	677
485	639	675
486	640	674
487	641	673
488	642	671
489	643	669
490	645	668
491	646	667
492	647	666
493	653	669
494	655	668
495	656	667
496	657	665
497	658	664
498	659	662
499	661	661
500	662	659
501	663	658
502	665	657
503	666	655
504	667	654
505	669	653
506	670	651
507	671	650
508	672	648
509	673	647
510	675	645
511	676	644
512	677	643
513	678	641
514	679	640
515	680	638
516	682	637
517	683	635
518	684	634
519	685	632
520	686	631
521	687	629
522	688	628
523	689	626
524	691	625
525	692	623
526	693	622
527	694	621
528	695	619
529	697	618
530	698	616
531	699	615
532	700	613
533	701	612
534	702	610
535	703	609
536	705	607
537	706	606
538	707	604
539	708	603
540	709	602
541	710	600
542	712	599
543	713	597
544	714	596
545	715	594
546	716	593
547	717	591
548	718	590
549	720	589
550	721	588
551	722	586
552	724	585
553	725	584
554	726	582
555	728	581
556	729	579
557	730	578
558	731	577
559	732	575
560	733	574
561	735	572
562	736	571
563	737	570
